,price,size,ask_price,ask_size,bid_price,bid_size
2016-04-11 23:21:30.999654,41.67,,,,,
2016-04-11 23:21:30.999740,,1.0,,,,
2016-04-11 23:21:30.999874,,,,44.0,,
2016-04-11 23:21:31.000001,,1.0,,,,
2016-04-11 23:21:31.902558,,,,,,10.0
2016-04-11 23:21:31.903395,,,,22.0,,
2016-04-11 23:21:31.903595,,6.0,,,,
2016-04-11 23:21:32.155786,,,,,41.67,
2016-04-11 23:21:32.155926,,,,,,4.0
2016-04-11 23:21:32.156165,,,,,,4.0
2016-04-11 23:21:32.156712,41.68,,,,,
2016-04-11 23:21:32.156787,,34.0,,,,
2016-04-11 23:21:32.156979,,,,53.0,,
2016-04-11 23:21:32.157170,,34.0,,,,
2016-04-11 23:21:32.409286,,,,36.0,,
2016-04-11 23:21:32.409441,,50.0,,,,
2016-04-11 23:21:33.105780,,,41.67,,,
2016-04-11 23:21:33.105933,,,,1.0,,
2016-04-11 23:21:33.106185,,,,1.0,,
2016-04-11 23:21:33.106441,,39.0,,,,
2016-04-11 23:21:33.359251,,,41.66,,,
2016-04-11 23:21:33.359392,,,,52.0,,
2016-04-11 23:21:33.359655,,,,52.0,,
2016-04-11 23:21:33.359937,,49.0,,,,
2016-04-11 23:21:33.360298,,,41.67,,,
2016-04-11 23:21:33.360379,,,,30.0,,
2016-04-11 23:21:33.360637,,,,30.0,,
2016-04-11 23:21:33.360883,,5.0,,,,
2016-04-11 23:21:34.307650,,,,34.0,,
2016-04-11 23:21:35.310595,,,,72.0,,
2016-04-11 23:21:35.310891,,4.0,,,,
2016-04-11 23:21:36.312266,,,,71.0,,
2016-04-11 23:21:36.913723,,,,,41.69,
2016-04-11 23:21:36.913868,,,,,,1.0
2016-04-11 23:21:36.914158,,,,,,1.0
2016-04-11 23:21:36.914879,,,41.68,,,
2016-04-11 23:21:36.914980,,,,6.0,,
2016-04-11 23:21:36.915367,41.69,,,,,
2016-04-11 23:21:36.915461,,1.0,,,,
2016-04-11 23:21:36.915747,,,,6.0,,
2016-04-11 23:21:36.916052,,1.0,,,,
2016-04-11 23:21:37.168075,,,41.67,,,
2016-04-11 23:21:37.168250,,,,69.0,,
2016-04-11 23:21:37.168618,,,,69.0,,
2016-04-11 23:21:37.168915,,24.0,,,,
2016-04-11 23:21:37.169137,,,,54.0,,
2016-04-11 23:21:37.169400,,50.0,,,,
2016-04-11 23:21:37.515326,41.68,,,,,
2016-04-11 23:21:37.515444,,3.0,,,,
2016-04-11 23:21:37.515647,,,,36.0,,
2016-04-11 23:21:37.516033,,3.0,,,,
2016-04-11 23:21:37.816400,,,,,41.68,
2016-04-11 23:21:37.816664,,,,,,3.0
2016-04-11 23:21:37.817118,,,,,,3.0
2016-04-11 23:21:37.818022,41.69,,,,,
2016-04-11 23:21:37.818114,,73.0,,,,
2016-04-11 23:21:37.818385,,,,35.0,,
2016-04-11 23:21:37.818651,,73.0,,,,
2016-04-11 23:21:38.069530,,,41.68,,,
2016-04-11 23:21:38.069634,,,,2.0,,
2016-04-11 23:21:38.069786,,,,2.0,,
2016-04-11 23:21:38.069940,,71.0,,,,
2016-04-11 23:21:39.018423,,,,5.0,,
2016-04-11 23:21:39.018756,,39.0,,,,
2016-04-11 23:21:39.271836,,,,16.0,,
2016-04-11 23:21:39.272137,,6.0,,,,
2016-04-11 23:21:39.272684,,,,,,1.0
2016-04-11 23:21:39.273371,,,41.67,,,
2016-04-11 23:21:39.273455,,,,26.0,,
2016-04-11 23:21:39.273724,41.68,,,,,
2016-04-11 23:21:39.273786,,8.0,,,,
2016-04-11 23:21:39.273976,,,,26.0,,
2016-04-11 23:21:39.274160,,8.0,,,,
2016-04-11 23:21:39.525739,,,,36.0,,
2016-04-11 23:21:39.526140,,3.0,,,,
2016-04-11 23:21:39.526525,41.69,,,,,
2016-04-11 23:21:39.526612,,67.0,,,,
2016-04-11 23:21:39.526867,,,,46.0,,
2016-04-11 23:21:39.527122,,67.0,,,,
2016-04-11 23:21:40.221569,,,,,,8.0
2016-04-11 23:21:40.474651,,,,60.0,,
2016-04-11 23:21:40.475076,,47.0,,,,
2016-04-11 23:21:40.475580,,,41.68,,,
2016-04-11 23:21:40.475705,,,,4.0,,
2016-04-11 23:21:40.475984,,,,4.0,,
2016-04-11 23:21:40.476189,,13.0,,,,
2016-04-11 23:21:40.728146,,,,24.0,,
2016-04-11 23:21:40.728491,,11.0,,,,
2016-04-11 23:21:40.728695,,,,29.0,,
2016-04-11 23:21:40.728898,,5.0,,,,
2016-04-11 23:21:41.525229,,,41.67,,,
2016-04-11 23:21:41.525346,,,,59.0,,
2016-04-11 23:21:41.525561,,,,59.0,,
2016-04-11 23:21:41.525770,,38.0,,,,
2016-04-11 23:21:42.527226,,,,57.0,,
2016-04-11 23:21:42.527558,,48.0,,,,
2016-04-11 23:21:42.780632,,,,,41.67,
2016-04-11 23:21:42.780803,,,,,,2.0
2016-04-11 23:21:42.781165,,,,,,2.0
2016-04-11 23:21:42.781666,41.68,,,,,
2016-04-11 23:21:42.781731,,4.0,,,,
2016-04-11 23:21:42.781960,,,,32.0,,
2016-04-11 23:21:42.782182,,4.0,,,,
2016-04-11 23:21:43.033898,,,,30.0,,
2016-04-11 23:21:43.830782,,,,33.0,,
2016-04-11 23:21:43.831048,,3.0,,,,
2016-04-11 23:21:44.232364,,,,,,1.0
2016-04-11 23:21:44.233039,,,,7.0,,
2016-04-11 23:21:44.233326,,18.0,,,,
2016-04-11 23:21:44.485353,,,,4.0,,
2016-04-11 23:21:44.485705,,28.0,,,,
2016-04-11 23:21:44.486010,,,41.66,,,
2016-04-11 23:21:44.486115,,,,74.0,,
2016-04-11 23:21:44.486490,41.67,,,,,
2016-04-11 23:21:44.486575,,1.0,,,,
2016-04-11 23:21:44.486830,,,,74.0,,
2016-04-11 23:21:44.487067,,1.0,,,,
2016-04-11 23:21:44.738818,,,,68.0,,
2016-04-11 23:21:45.235691,,,,,,4.0
2016-04-11 23:21:45.636514,,,,55.0,,
2016-04-11 23:21:45.636777,,4.0,,,,
2016-04-11 23:21:46.137319,,,41.67,,,
2016-04-11 23:21:46.137471,,,,1.0,,
2016-04-11 23:21:46.137832,41.68,,,,,
2016-04-11 23:21:46.137916,,43.0,,,,
2016-04-11 23:21:46.138155,,,,1.0,,
2016-04-11 23:21:46.138409,,43.0,,,,
2016-04-11 23:21:46.390815,,,,,,3.0
2016-04-11 23:21:47.393024,,35.0,,,,
2016-04-11 23:21:47.393880,,,,,,2.0
2016-04-11 23:21:47.394539,,,41.66,,,
2016-04-11 23:21:47.394612,,,,55.0,,
2016-04-11 23:21:47.394876,41.67,,,,,
2016-04-11 23:21:47.394947,,3.0,,,,
2016-04-11 23:21:47.395483,,,,55.0,,
2016-04-11 23:21:47.395828,,3.0,,,,
2016-04-11 23:21:47.740880,,,,10.0,,
2016-04-11 23:21:47.741117,,17.0,,,,
2016-04-11 23:21:47.994803,,,,38.0,,
2016-04-11 23:21:47.995044,,3.0,,,,
2016-04-11 23:21:48.743477,,,,32.0,,
2016-04-11 23:21:48.743683,,4.0,,,,
2016-04-11 23:21:49.145652,,,41.67,,,
2016-04-11 23:21:49.145745,,,,1.0,,
2016-04-11 23:21:49.146047,41.68,,,,,
2016-04-11 23:21:49.146135,,41.0,,,,
2016-04-11 23:21:49.146501,,,,1.0,,
2016-04-11 23:21:49.146801,,41.0,,,,
2016-04-11 23:21:50.147462,,,,2.0,,
2016-04-11 23:21:50.147795,,33.0,,,,
2016-04-11 23:21:50.649011,,,41.66,,,
2016-04-11 23:21:50.649184,,,,42.0,,
2016-04-11 23:21:50.649629,41.67,,,,,
2016-04-11 23:21:50.649715,,1.0,,,,
2016-04-11 23:21:50.649967,,,,42.0,,
2016-04-11 23:21:50.650212,,1.0,,,,
2016-04-11 23:21:51.150172,,,41.67,,,
2016-04-11 23:21:51.150326,,,,1.0,,
2016-04-11 23:21:51.150694,41.68,,,,,
2016-04-11 23:21:51.150779,,32.0,,,,
2016-04-11 23:21:51.151082,,,,1.0,,
2016-04-11 23:21:51.151279,,32.0,,,,
2016-04-11 23:21:51.403575,,,,,,1.0
2016-04-11 23:21:52.152473,,,,3.0,,
2016-04-11 23:21:52.152804,,35.0,,,,
2016-04-11 23:21:52.406020,,,,,41.68,
2016-04-11 23:21:52.406215,,,,,,1.0
2016-04-11 23:21:52.406768,,,,4.0,,
2016-04-11 23:21:52.407026,,21.0,,,,
2016-04-11 23:21:52.754302,,,,,41.67,
2016-04-11 23:21:52.754383,,,,,,2.0
2016-04-11 23:21:52.754562,,,,,,2.0
2016-04-11 23:21:52.754850,,,41.66,,,
2016-04-11 23:21:52.754886,,,,37.0,,
2016-04-11 23:21:52.755033,41.67,,,,,
2016-04-11 23:21:52.755070,,4.0,,,,
2016-04-11 23:21:52.755185,,,,37.0,,
2016-04-11 23:21:52.755291,,4.0,,,,
2016-04-11 23:21:53.155166,,,,13.0,,
2016-04-11 23:21:53.155500,,13.0,,,,
2016-04-11 23:21:53.656458,,,,14.0,,
2016-04-11 23:21:53.656781,,7.0,,,,
2016-04-11 23:21:53.909888,,,,26.0,,
2016-04-11 23:21:53.910208,,5.0,,,,
2016-04-11 23:21:54.164063,41.68,,,,,
2016-04-11 23:21:54.164209,,51.0,,,,
2016-04-11 23:21:54.164507,,,,56.0,,
2016-04-11 23:21:54.164716,,51.0,,,,
2016-04-11 23:21:54.458761,41.67,,,,,
2016-04-11 23:21:54.458913,,1.0,,,,
2016-04-11 23:21:54.459175,,,,50.0,,
2016-04-11 23:21:54.459426,,1.0,,,,
2016-04-11 23:21:54.712383,,,,29.0,,
2016-04-11 23:21:54.712704,,6.0,,,,
2016-04-11 23:21:55.261283,,,,,,1.0
2016-04-11 23:21:55.261896,,,41.67,,,
2016-04-11 23:21:55.261961,,,,2.0,,
2016-04-11 23:21:55.262227,41.68,,,,,
2016-04-11 23:21:55.262288,,24.0,,,,
2016-04-11 23:21:55.262473,,,,2.0,,
2016-04-11 23:21:55.262666,,24.0,,,,
2016-04-11 23:21:55.562259,,,,,41.68,
2016-04-11 23:21:55.562378,,,,,,1.0
2016-04-11 23:21:55.563167,,,41.68,,,
2016-04-11 23:21:55.563249,,,,2.0,,
2016-04-11 23:21:55.563575,41.69,,,,,
2016-04-11 23:21:55.563644,,51.0,,,,
2016-04-11 23:21:55.563834,,51.0,,,,
2016-04-11 23:21:55.815741,,,,5.0,,
2016-04-11 23:21:55.816080,,17.0,,,,
2016-04-11 23:21:55.816342,,,,13.0,,
2016-04-11 23:21:55.816591,,6.0,,,,
2016-04-11 23:21:56.069203,,,,5.0,,
2016-04-11 23:21:56.069448,,9.0,,,,
2016-04-11 23:21:56.069642,,,,4.0,,
2016-04-11 23:21:56.069840,,26.0,,,,
2016-04-11 23:21:56.564954,,,41.67,,,
2016-04-11 23:21:56.565105,,,,34.0,,
2016-04-11 23:21:56.565366,,,,34.0,,
2016-04-11 23:21:56.565625,,64.0,,,,
2016-04-11 23:21:56.865917,41.68,,,,,
2016-04-11 23:21:56.866035,,24.0,,,,
2016-04-11 23:21:56.866225,,,,9.0,,
2016-04-11 23:21:56.866417,,24.0,,,,
2016-04-11 23:21:57.420699,,,,11.0,,
2016-04-11 23:21:57.421032,,15.0,,,,
2016-04-11 23:21:57.674409,,,,,41.67,
2016-04-11 23:21:57.674564,,,,,,1.0
2016-04-11 23:21:57.675382,,6.0,,,,
2016-04-11 23:21:57.927303,,,,4.0,,
2016-04-11 23:21:57.927583,,18.0,,,,
2016-04-11 23:21:57.927774,,,,8.0,,
2016-04-11 23:21:57.928060,,10.0,,,,
2016-04-11 23:21:58.180986,,4.0,,,,
2016-04-11 23:21:58.181188,,,,7.0,,
2016-04-11 23:21:58.181345,,11.0,,,,
2016-04-11 23:21:58.470273,41.69,,,,,
2016-04-11 23:21:58.470392,,56.0,,,,
2016-04-11 23:21:58.470778,,,,36.0,,
2016-04-11 23:21:58.471053,,56.0,,,,
2016-04-11 23:21:58.723430,41.68,,,,,
2016-04-11 23:21:58.723566,,11.0,,,,
2016-04-11 23:21:58.723804,,,,8.0,,
2016-04-11 23:21:58.724066,,11.0,,,,
2016-04-11 23:21:58.724599,,5.0,,,,
2016-04-11 23:21:58.977262,41.69,,,,,
2016-04-11 23:21:58.977440,,72.0,,,,
2016-04-11 23:21:58.977801,,,,36.0,,
2016-04-11 23:21:58.978167,,72.0,,,,
2016-04-11 23:21:59.230850,41.68,,,,,
2016-04-11 23:21:59.230972,,1.0,,,,
2016-04-11 23:21:59.231224,,,,33.0,,
2016-04-11 23:21:59.231475,,1.0,,,,
2016-04-11 23:21:59.231833,41.69,,,,,
2016-04-11 23:21:59.231926,,74.0,,,,
2016-04-11 23:21:59.232132,,,,34.0,,
2016-04-11 23:21:59.232322,,74.0,,,,
2016-04-11 23:21:59.484115,41.68,,,,,
2016-04-11 23:21:59.484289,,31.0,,,,
2016-04-11 23:21:59.484651,,,,5.0,,
2016-04-11 23:21:59.484864,,31.0,,,,
2016-04-11 23:21:59.485053,,,,1.0,,
2016-04-11 23:21:59.485250,,38.0,,,,
2016-04-11 23:21:59.485521,,,41.66,,,
2016-04-11 23:21:59.485582,,,,62.0,,
2016-04-11 23:21:59.485767,,,,62.0,,
2016-04-11 23:21:59.485966,,39.0,,,,
2016-04-11 23:21:59.737675,,,,,,5.0
2016-04-11 23:21:59.738474,,,41.67,,,
2016-04-11 23:21:59.738592,,,,2.0,,
2016-04-11 23:21:59.738802,,,,2.0,,
2016-04-11 23:21:59.739007,,35.0,,,,
2016-04-11 23:22:00.073477,,,,21.0,,
2016-04-11 23:22:00.073727,,2.0,,,,
2016-04-11 23:22:00.327223,,,,12.0,,
2016-04-11 23:22:00.327469,,5.0,,,,
2016-04-11 23:22:00.775104,,,,,,1.0
2016-04-11 23:22:00.775410,,,,2.0,,
2016-04-11 23:22:00.775522,,24.0,,,,
2016-04-11 23:22:01.177093,,,,5.0,,
2016-04-11 23:22:01.177347,,17.0,,,,
2016-04-11 23:22:01.429721,,,,1.0,,
2016-04-11 23:22:01.430122,,24.0,,,,
2016-04-11 23:22:01.683588,,,,5.0,,
2016-04-11 23:22:01.683793,,17.0,,,,
2016-04-11 23:22:01.937389,,,,,41.68,
2016-04-11 23:22:01.937546,,,,,,1.0
2016-04-11 23:22:01.938103,,,,30.0,,
2016-04-11 23:22:01.938349,,6.0,,,,
2016-04-11 23:22:02.779965,,,,28.0,,
2016-04-11 23:22:02.780291,,5.0,,,,
2016-04-11 23:22:03.033828,,,,,41.67,
2016-04-11 23:22:03.034067,,,,,,7.0
2016-04-11 23:22:03.034352,,,,,,7.0
2016-04-11 23:22:03.035033,,,41.66,,,
2016-04-11 23:22:03.035118,,,,69.0,,
2016-04-11 23:22:03.035368,,,,69.0,,
2016-04-11 23:22:03.035635,,35.0,,,,
2016-04-11 23:22:03.286971,41.67,,,,,
2016-04-11 23:22:03.287132,,1.0,,,,
2016-04-11 23:22:03.287337,,,,59.0,,
2016-04-11 23:22:03.287524,,1.0,,,,
2016-04-11 23:22:03.982194,,,,,,6.0
2016-04-11 23:22:04.283142,,,,35.0,,
2016-04-11 23:22:04.283388,,4.0,,,,
2016-04-11 23:22:04.584084,,,,11.0,,
2016-04-11 23:22:04.584340,,48.0,,,,
2016-04-11 23:22:04.838013,,,,,41.66,
2016-04-11 23:22:04.838132,,,,,,1.0
2016-04-11 23:22:04.838323,,,,,,1.0
2016-04-11 23:22:05.091603,,,,,41.67,
2016-04-11 23:22:05.091727,,,,,,1.0
2016-04-11 23:22:05.092583,41.68,,,,,
2016-04-11 23:22:05.092704,,54.0,,,,
2016-04-11 23:22:05.093124,,,,41.0,,
2016-04-11 23:22:05.093345,,54.0,,,,
2016-04-11 23:22:05.093619,,,41.67,,,
2016-04-11 23:22:05.093680,,,,12.0,,
2016-04-11 23:22:05.093865,,,,12.0,,
2016-04-11 23:22:05.094048,,5.0,,,,
2016-04-11 23:22:05.094228,,,,3.0,,
2016-04-11 23:22:05.094418,,18.0,,,,
2016-04-11 23:22:05.486293,,,,16.0,,
2016-04-11 23:22:05.486618,,4.0,,,,
2016-04-11 23:22:05.738970,,,,8.0,,
2016-04-11 23:22:05.739173,,5.0,,,,
2016-04-11 23:22:05.993071,,,,5.0,,
2016-04-11 23:22:05.993383,,,,15.0,,
2016-04-11 23:22:05.993574,,4.0,,,,
2016-04-11 23:22:06.488210,,,,24.0,,
2016-04-11 23:22:06.488534,,1.0,,,,
2016-04-11 23:22:07.444037,,,,14.0,,
2016-04-11 23:22:07.444368,,4.0,,,,
2016-04-11 23:22:07.791579,,,,,41.68,
2016-04-11 23:22:07.791756,,,,,,4.0
2016-04-11 23:22:07.792054,,,,,,4.0
2016-04-11 23:22:07.792776,,,41.68,,,
2016-04-11 23:22:07.792922,,,,38.0,,
2016-04-11 23:22:07.793441,41.69,,,,,
2016-04-11 23:22:07.793523,,7.0,,,,
2016-04-11 23:22:07.793723,,,,38.0,,
2016-04-11 23:22:07.793910,,7.0,,,,
2016-04-11 23:22:08.044667,,,,,,6.0
2016-04-11 23:22:08.045285,,,,47.0,,
2016-04-11 23:22:08.045473,,3.0,,,,
2016-04-11 23:22:08.298392,41.7,,,,,
2016-04-11 23:22:08.298536,,54.0,,,,
2016-04-11 23:22:08.298765,,,,52.0,,
2016-04-11 23:22:08.298969,,54.0,,,,
2016-04-11 23:22:08.551734,,,41.69,,,
2016-04-11 23:22:08.551886,,,,1.0,,
2016-04-11 23:22:08.552134,,,,1.0,,
2016-04-11 23:22:08.552390,,37.0,,,,
2016-04-11 23:22:08.893794,,,,,,1.0
2016-04-11 23:22:09.495300,,,,2.0,,
2016-04-11 23:22:09.495552,,39.0,,,,
2016-04-11 23:22:09.896642,,,,,41.7,
2016-04-11 23:22:09.896755,,,,,,5.0
2016-04-11 23:22:09.896946,,,,,,5.0
2016-04-11 23:22:10.149858,,,,32.0,,
2016-04-11 23:22:10.150104,,3.0,,,,
2016-04-11 23:22:10.403348,,,,22.0,,
2016-04-11 23:22:10.898776,,,,9.0,,
2016-04-11 23:22:10.899095,,5.0,,,,
2016-04-11 23:22:11.151832,,,,16.0,,
2016-04-11 23:22:11.152149,,4.0,,,,
2016-04-11 23:22:11.700260,,,,11.0,,
2016-04-11 23:22:11.700581,,6.0,,,,
2016-04-11 23:22:11.953863,,,,16.0,,
2016-04-11 23:22:11.954178,,4.0,,,,
2016-04-11 23:22:11.954809,,,,,,1.0
2016-04-11 23:22:11.955512,,,41.7,,,
2016-04-11 23:22:11.955598,,,,3.0,,
2016-04-11 23:22:11.955948,41.71,,,,,
2016-04-11 23:22:11.956048,,37.0,,,,
2016-04-11 23:22:11.956229,,,,3.0,,
2016-04-11 23:22:11.956417,,37.0,,,,
2016-04-11 23:22:12.301503,,,,20.0,,
2016-04-11 23:22:12.301749,,4.0,,,,
2016-04-11 23:22:12.555356,,,,,41.72,
2016-04-11 23:22:12.555608,,,,,,2.0
2016-04-11 23:22:12.555907,,,,,,2.0
2016-04-11 23:22:12.556575,,,41.71,,,
2016-04-11 23:22:12.556661,,,,5.0,,
2016-04-11 23:22:12.557013,41.72,,,,,
2016-04-11 23:22:12.557092,,18.0,,,,
2016-04-11 23:22:12.557330,,,,5.0,,
2016-04-11 23:22:12.557585,,18.0,,,,
2016-04-11 23:22:12.808779,,,,16.0,,
2016-04-11 23:22:12.809205,,2.0,,,,
2016-04-11 23:22:13.404381,,,,,,1.0
2016-04-11 23:22:13.405075,41.73,,,,,
2016-04-11 23:22:13.405141,,46.0,,,,
2016-04-11 23:22:13.405331,,,,48.0,,
2016-04-11 23:22:13.405524,,46.0,,,,
2016-04-11 23:22:13.705219,,,41.72,,,
2016-04-11 23:22:13.705332,,,,2.0,,
2016-04-11 23:22:13.705522,,,,2.0,,
2016-04-11 23:22:13.705717,,39.0,,,,
2016-04-11 23:22:13.958522,,,,7.0,,
2016-04-11 23:22:13.958766,,7.0,,,,
2016-04-11 23:22:13.958964,,15.0,,,,
2016-04-11 23:22:14.211886,,,,19.0,,
2016-04-11 23:22:14.212201,,3.0,,,,
2016-04-11 23:22:14.465418,,,,4.0,,
2016-04-11 23:22:14.465730,,17.0,,,,
2016-04-11 23:22:14.465989,,,,1.0,,
2016-04-11 23:22:14.466248,,48.0,,,,
2016-04-11 23:22:14.719334,,,41.71,,,
2016-04-11 23:22:14.719402,,,,55.0,,
2016-04-11 23:22:14.719590,,,,55.0,,
2016-04-11 23:22:14.719782,,40.0,,,,
2016-04-11 23:22:15.409137,,,41.72,,,
2016-04-11 23:22:15.409541,,,,1.0,,
2016-04-11 23:22:15.409882,,,,1.0,,
2016-04-11 23:22:15.410150,,30.0,,,,
2016-04-11 23:22:15.709702,,,,2.0,,
2016-04-11 23:22:15.710035,,28.0,,,,
2016-04-11 23:22:15.962845,,,,5.0,,
2016-04-11 23:22:15.963239,,15.0,,,,
2016-04-11 23:22:15.963537,,,,2.0,,
2016-04-11 23:22:15.963860,,25.0,,,,
2016-04-11 23:22:16.216731,,,,5.0,,
2016-04-11 23:22:16.217072,,14.0,,,,
2016-04-11 23:22:17.365929,,16.0,,,,
2016-04-11 23:22:17.366275,,,,11.0,,
2016-04-11 23:22:17.366529,,5.0,,,,
2016-04-11 23:22:17.366693,,,,6.0,,
2016-04-11 23:22:17.366875,,4.0,,,,
2016-04-11 23:22:17.619331,,,,15.0,,
2016-04-11 23:22:17.619651,,2.0,,,,
2016-04-11 23:22:17.914634,,,,6.0,,
2016-04-11 23:22:17.914966,,11.0,,,,
2016-04-11 23:22:18.215030,,5.0,,,,
2016-04-11 23:22:18.469542,,,,,41.73,
2016-04-11 23:22:18.469683,,,,,,5.0
2016-04-11 23:22:18.469878,,,,,,5.0
2016-04-11 23:22:18.470377,,,41.73,,,
2016-04-11 23:22:18.470438,,,,10.0,,
2016-04-11 23:22:18.470757,41.74,,,,,
2016-04-11 23:22:18.470838,,84.0,,,,
2016-04-11 23:22:18.471090,,,,10.0,,
